mlsfc,fclt_name,sgnr_nm,legalemd_nm
공공도서관,안성시립공도도서관,안성시,공도읍 만정리
공공도서관,안성시립보개도서관,안성시,보개면 양복리
공공도서관,안성시립일죽도서관,안성시,일죽면 송천리
공공도서관,안성시립중앙도서관,안성시,금산동
공공도서관,안성시립진사도서관,안성시,공도읍 진사리
공공도서관,안양시립관양도서관,안양시 동안구,관양동
공공도서관,안양시립비산도서관,안양시 동안구,비산동
공공도서관,안양시벌말도서관,안양시 동안구,평촌동
공공도서관,안양시평촌도서관,안양시 동안구,관양동
공공도서관,안양시호계도서관,안양시 동안구,호계동
공공도서관,안양어린이도서관,안양시 동안구,호계동
공공도서관,안양시립삼덕도서관,안양시 만안구,안양동
공공도서관,안양시만안도서관,안양시 만안구,석수동
공공도서관,안양시박달도서관,안양시 만안구,박달동
공공도서관,안양시석수도서관,안양시 만안구,석수동
공공도서관,광적도서관,양주시,광적면 가납리
공공도서관,양주시 고읍도서관,양주시,광사동
공공도서관,양주시 남면도서관,양주시,남면 신산리
공공도서관,양주시 덕계도서관,양주시,덕계동
공공도서관,양주시덕정도서관,양주시,덕정동
공공도서관,양주시립꿈나무도서관,양주시,백석읍 오산리
공공도서관,양주희망도서관,양주시,삼숭동
공공도서관,양평 양서친환경도서관,양평군,양서면 용담리
공공도서관,양평군립양동도서관,양평군,양동면 쌍학리
공공도서관,양평군립중앙도서관,양평군,양평읍 양근리
공공도서관,양평군립지평도서관,양평군,지평면 지평리
공공도서관,양평어린이도서관,양평군,양평읍 양근리
공공도서관,양평용문도서관,양평군,용문면 다문리
공공도서관,세종도서관,여주시,어진동
공공도서관,여주도서관,여주시,천송동
공공도서관,점동도서관,여주시,점동면 청안리
공공도서관,연천군 중앙도서관,연천군,전곡읍 전곡리
공공도서관,연천도서관,연천군,연천읍 차탄리
공공도서관,양산도서관,오산시,북부동
공공도서관,오산시 꿈두레도서관,오산시,세교동
공공도서관,오산시 중앙도서관,오산시,오산동
공공도서관,오산시 청학도서관,오산시,청학동
공공도서관,오산시립 햇살마루 도서관,오산시,원동
공공도서관,오산시초평도서관,오산시,누읍동
공공도서관,보라도서관,용인시 기흥구,보라동
공공도서관,용인시 기흥도서관,용인시 기흥구,신갈동
공공도서관,용인시 동백도서관,용인시 기흥구,중동
